track_id,artist_id,track_name,track_url,artist_name,track_description,likes,comments,shares,plays,track_image_url,track_image_path,track_date_time,tags,bpm,key,genre,waveform_url,waveform_path,length,is_track,mix,feat,remixer,original_producer,track_date,beatport_url,beatport_track_name,label,beatport_release
3814,87,Tristesse,https://soundcloud.com/kollektivturmstrasse/tristesse-1,Kollektiv Turmstrasse,None,2077,22,177,62980,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3814-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2008-11-03T00:00:00.000Z,None,104,A min,Tech House,https://geo-media.beatport.com/image_size/1500x250/7c3b2511-4d2b-4af2-b8b8-c305c4788afe.png,https://sound-scraping.eu-west-3/waveforms/87-3814-7c3b2511-4d2b-4af2-b8b8-c305c4788afe.png,548,NULL,ORIGINAL MIX,Square Room Heroes,None,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/tristesse/355441,Tristesse,Connaisseur Recordings,30/10/2008
3815,87,Heiligendamm,https://soundcloud.com/kollektivturmstrasse/heiligendamm-1,Kollektiv Turmstrasse,None,214,2,16,8680,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3815-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2008-11-03T00:00:00.000Z,None,127,E min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/96378bdd-9b8b-46c4-9701-a56e0371017d.png,https://sound-scraping.eu-west-3/waveforms/87-3815-96378bdd-9b8b-46c4-9701-a56e0371017d.png,515,NULL,ORIGINAL MIX,Square Room Heroes,None,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/heiligendamm/355442,Heiligendamm,Connaisseur Recordings,30/10/2008
3820,87,Tristesse,https://soundcloud.com/kollektivturmstrasse/tristesse,Kollektiv Turmstrasse,None,296,5,30,9827,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3820-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2007-02-02T00:00:00.000Z,None,104,A min,Tech House,https://geo-media.beatport.com/image_size/1500x250/7c3b2511-4d2b-4af2-b8b8-c305c4788afe.png,https://sound-scraping.eu-west-3/waveforms/87-3820-7c3b2511-4d2b-4af2-b8b8-c305c4788afe.png,548,NULL,ORIGINAL MIX,Fritz Kalkbrenner,None,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/tristesse/355441,Tristesse,Connaisseur Recordings,30/10/2008
3899,89,"LAOLU ""How Strange"" (Extract)",https://soundcloud.com/laolu/how-strange-extract,Laolu,None,39,1,1,2462,https://i1.sndcdn.com/artworks-000003784610-gjy1ql-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/89-3899-artworks-000003784610-gjy1ql-t500x500.jpg,2010-12-25T18:29:24.000Z,None,100,A min,Electronica,https://geo-media.beatport.com/image_size/1500x250/836c0a0d-aed3-473f-b0e8-91aa4771f2f4.png,https://sound-scraping.eu-west-3/waveforms/89-3899-836c0a0d-aed3-473f-b0e8-91aa4771f2f4.png,364,NULL,ORIGINAL MIX,Moby,None,Laolu,NULL,https://www.beatport.com/track/how-strange/1790425,How Strange,Mental Groove,28/03/2011
3900,89,LAOLU O Fantasma (KADEBOSTAN Tiger city rmx) Exract,https://soundcloud.com/laolu/laolu-o-fantasma-kadebostan-tiger-city-rmx-exract,Laolu,None,142,4,10,6580,https://i1.sndcdn.com/artworks-000003112867-tnt9gg-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/89-3900-artworks-000003112867-tnt9gg-t500x500.jpg,2010-11-17T21:45:27.000Z,None,120,G min,Tech House,https://geo-media.beatport.com/image_size/1500x250/6ea3a873-a91e-4fad-ac02-e5628d13e307.png,https://sound-scraping.eu-west-3/waveforms/89-3900-6ea3a873-a91e-4fad-ac02-e5628d13e307.png,642,NULL,KADEBOSTAN TIGERCITY REMIX PART 3,Moby,Kadebostan,Laolu,NULL,https://www.beatport.com/track/o-fantasma/3851570,O Fantasma,Freude Am Tanzen Recordings,09/11/2012
3901,89,LAOLU O Fantasma (Original) Extract,https://soundcloud.com/laolu/laolu-o-fantasma-original-extract,Laolu,None,158,7,19,7041,https://i1.sndcdn.com/artworks-000003112860-t10dl7-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/89-3901-artworks-000003112860-t10dl7-t500x500.jpg,2010-11-17T21:44:47.000Z,None,126,G min,Deep House,https://geo-media.beatport.com/image_size/1500x250/cb916244-ee0f-48db-b52e-389ef2d74cbb.png,https://sound-scraping.eu-west-3/waveforms/89-3901-cb916244-ee0f-48db-b52e-389ef2d74cbb.png,441,NULL,ORIGINAL MIX,Moby,None,Laolu,NULL,https://www.beatport.com/track/o-fantasma/1848180,O Fantasma,Clap Your Hands,25/03/2011
3902,90,Contrast (Original Mix),https://soundcloud.com/enzosiragusa/contrast-original-mix,Enzo Siragusa,None,181,3,8,4916,https://i1.sndcdn.com/artworks-Kj8fMHRKkWwo-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/90-3902-artworks-Kj8fMHRKkWwo-0-t500x500.jpg,2019-02-06T00:00:00.000Z,None,126,A min,Tech House,https://geo-media.beatport.com/image_size/1500x250/635ed201-37e2-4e4b-9ffc-145f59d52f92.png,https://sound-scraping.eu-west-3/waveforms/90-3902-635ed201-37e2-4e4b-9ffc-145f59d52f92.png,396,NULL,ORIGINAL MIX,Moby,None,Enzo Siragusa,NULL,https://www.beatport.com/track/contrast/11586474,Contrast,Rawax,06/02/2019
3905,90,Enzo Siragusa - Over Thoughts [RAWAX],https://soundcloud.com/enzosiragusa/enzo-siragusa-over-thoughts-rawax,Enzo Siragusa,Store: www.deejay.de/Enzo_Siragusa_Variâ€¦S071_Vinyl__340579,361,6,33,9192,https://i1.sndcdn.com/artworks-000475559565-cs9eda-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/90-3905-artworks-000475559565-cs9eda-t500x500.jpg,2019-01-21T14:02:48.000Z,None,128,F maj,Tech House,https://geo-media.beatport.com/image_size/1500x250/ad6acbac-b4d5-4d00-9f8d-edd733c0d6e3.png,https://sound-scraping.eu-west-3/waveforms/90-3905-ad6acbac-b4d5-4d00-9f8d-edd733c0d6e3.png,390,NULL,ORIGINAL MIX,Moby,None,Enzo Siragusa,NULL,https://www.beatport.com/track/over-thoughts/11586477,Over Thoughts,Rawax,06/02/2019
3915,90,Ricochet (Original Mix),https://soundcloud.com/enzosiragusa/ricochet-original-mix,Enzo Siragusa,None,132,3,5,2470,https://i1.sndcdn.com/artworks-b3yyfDIpkrLs-0-t500x500.png,https://sound-scraping.eu-west-3/track-images/90-3915-artworks-b3yyfDIpkrLs-0-t500x500.png,2017-06-30T00:00:00.000Z,None,126,E min,Tech House,https://geo-media.beatport.com/image_size/1500x250/7fde57e4-a06b-45ca-9b4d-5709bd628a3d.png,https://sound-scraping.eu-west-3/waveforms/90-3915-7fde57e4-a06b-45ca-9b4d-5709bd628a3d.png,428,NULL,ORIGINAL MIX,Enzo Siragusa,None,Archie Hamilton,NULL,https://www.beatport.com/track/ricochet/9408300,Ricochet,Moscow Records,16/06/2017
3933,91,Compuphonic - Slow Bilbao,https://soundcloud.com/compuphonic-1/compuphonic-slow-bilbao-2,Compuphonic,"Label: Exploited
Artist: Compuphonic
Release: Slow Bilbao
LC: 15799
Cat: EXPDIGITAL144",381,9,88,12273,https://i1.sndcdn.com/artworks-000210399759-e6v7b5-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/91-3933-artworks-000210399759-e6v7b5-t500x500.jpg,2017-03-02T14:55:55.000Z,None,119,Eâ™­ min,Deep House,https://geo-media.beatport.com/image_size/1500x250/b49e648c-2534-43a7-b2ed-0f8e5358b627.png,https://sound-scraping.eu-west-3/waveforms/91-3933-b49e648c-2534-43a7-b2ed-0f8e5358b627.png,351,NULL,ORIGINAL MIX,Seb Zito,None,Compuphonic,NULL,https://www.beatport.com/track/slow-bilbao/8850417,Slow Bilbao,Exploited,27/02/2017
